Real News,Mean, ,Absolute Mean, ,Median, ,Absolute Median, 
,Num_Articles,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity
CONSERVATIVETRIBUNE-COM,32,0.49329796477096083,0.05493141398500561,0.49329796477096083,0.10477231743919034,0.4838409606266749,0.06816054894179895,0.4838409606266749,0.09760410784867306
CONSORTIUMNEWS-COM,7,0.39861620403709763,0.05524491854781561,0.39861620403709763,0.05609604021526381,0.39708222241334834,0.05642373039147235,0.39708222241334834,0.05642373039147235
CORBETTREPORT-COM,19,0.4087201244218788,0.05229969383478155,0.4087201244218788,0.08379320032828806,0.4014309764309764,0.043827160493827164,0.4014309764309764,0.05227272727272727
COUNTERPUNCH-ORG,13,0.3812518386159669,0.07453642308415456,0.3812518386159669,0.07587508442281592,0.38382432068872746,0.07752249151408817,0.38382432068872746,0.07752249151408817
DAILYSTORMER-COM,37,0.4273902495158267,0.061545738517210166,0.4273902495158267,0.09302012958001704,0.4364065497994069,0.08,0.4364065497994069,0.08
DAILYWIRE-COM,11,0.560145052703366,0.08970233678616851,0.560145052703366,0.21205082163465339,0.4857517482517482,0.06666666666666667,0.4857517482517482,0.19642857142857142
DAVIDDUKE-COM,26,0.45297751998070596,0.12902458938226333,0.45297751998070596,0.13581548367315763,0.4458836100608252,0.11237373737373736,0.4458836100608252,0.11237373737373736
DAVIDSTOCKMANSCONTRACORNER-COM,24,0.44171838173400674,0.10766919442440274,0.44171838173400674,0.12504433471620965,0.39348063973063974,0.09502164502164503,0.39348063973063974,0.1130952380952381
DCCLOTHESLINE-COM,19,0.4581851299416611,0.048910556767478554,0.4581851299416611,0.12534512953332066,0.4499660832994166,0.07591066341066337,0.4499660832994166,0.11588326446280992
DENNISMICHAELLYNCH-COM,7,0.37123427522584074,0.011386541261611842,0.37123427522584074,0.05354640520719007,0.3333333333333333,0.028571428571428564,0.3333333333333333,0.0375
DEPARTED-CO,6,0.3992178615513138,0.12265756457567212,0.3992178615513138,0.12265756457567212,0.4265135642135642,0.10310864780561751,0.4265135642135642,0.10310864780561751
DISCLOSE-TV,38,0.42876746342206656,0.08424536803531439,0.42876746342206656,0.1103620319987669,0.4571382848417732,0.07904166666666668,0.4571382848417732,0.1025974025974026
ENDINGTHEFED-COM,9,0.4612556989631551,0.01638651773827212,0.4612556989631551,0.05745233463742235,0.4584126984126984,0.014976689976689975,0.4584126984126984,0.0673076923076923
ENDTIME-COM,65,0.3776436067799031,0.07641785330367598,0.3776436067799031,0.10444756695504738,0.40767195767195763,0.10027548209366391,0.40767195767195763,0.10500000000000001
EUTIMES-NET,43,0.448829848810067,0.0653483630367017,0.448829848810067,0.1001904100298828,0.4337696386010992,0.07166305916305916,0.4337696386010992,0.07999999999999999
FELLOWSHIPOFTHEMINDS-COM,28,0.4224642296896438,0.08000663788752484,0.4224642296896438,0.10647976818166956,0.4209923914469369,0.08289186507936509,0.4209923914469369,0.0967261904761905
FILMSFORACTION-ORG,26,0.4150693433368423,0.10169019837974974,0.4150693433368423,0.11381626675581812,0.42374236453781905,0.09829239256678281,0.42374236453781905,0.09829239256678281
FORT-RUSS-COM,76,0.3650830500730568,0.05525124379438166,0.3650830500730568,0.08285045715955289,0.37870961355717453,0.0570799833284544,0.37870961355717453,0.06818428615303615
FREEDOMOUTPOST-COM,19,0.4489638409765558,0.034942689912485635,0.4489638409765558,0.0916885214961352,0.44851621808143544,0.04883830184966549,0.44851621808143544,0.06393325143325143
FROMTHETRENCHESWORLDREPORT-COM,35,0.4589736392157458,0.14385352066808646,0.4589736392157458,0.16685090952261816,0.5195269016697589,0.22103174603174602,0.5195269016697589,0.23117409617409618
